statId,playerId,playerName,primaryPosition,positionGroup,clubName,seasonKey,status,ovr,confidence,minutesPlayed,appearances,finishing,shotPower,shotAccuracy,positioning,attackingMovement,shortPassing,longPassing,vision,crossing,throughBalls,chanceCreation,tackling,interceptions,marking,defensiveAwareness,positioningDef,blocks,aerialAbility,dribbling,ballControl,composure,stamina,strength,pace,acceleration,workRate,gkReflexes,gkHandling,gkPositioning,gkKicking,gkClaims
fpl-stat-fpl-p-80201-2021-2022,fpl-p-80201,Bernd Leno,GK,GOALKEEPER,Manchester United FC,2021-2022,RATED,69,0.49,360,1,54.0,54.0,55.0,51.0,53.0,68.0,68.0,68.0,68.0,68.0,68.0,64.0,64.0,64.0,64.0,64.0,65.0,60.0,46.0,47.0,47.0,52.0,54.0,51.0,51.0,55.0,69.0,69.0,69.0,69.0,69.0
fpl-stat-fpl-p-115918-2021-2022,fpl-p-115918,Rúnar Alex Rúnarsson,GK,GOALKEEPER,Manchester United FC,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fpl-stat-fpl-p-47431-2021-2022,fpl-p-47431,Willian Borges Da Silva,CM,MIDFIELDER,Manchester United FC,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fpl-stat-fpl-p-54694-2021-2022,fpl-p-54694,Pierre-Emerick Aubameyang,CM,MIDFIELDER,Manchester United FC,2021-2022,RATED,71,0.64,1036,1,89.0,86.0,88.0,82.0,76.0,77.0,76.0,76.0,75.0,76.0,76.0,77.0,76.0,76.0,76.0,76.0,75.0,71.0,65.0,65.0,63.0,57.0,58.0,58.0,58.0,61.0,10.0,10.0,10.0,10.0,10.0
fpl-stat-fpl-p-58822-2021-2022,fpl-p-58822,Cédric Soares,CM,MIDFIELDER,Manchester United FC,2021-2022,RATED,72,0.74,1481,1,81.0,79.0,81.0,76.0,74.0,77.0,76.0,77.0,76.0,76.0,77.0,77.0,77.0,76.0,77.0,76.0,76.0,73.0,64.0,65.0,64.0,62.0,62.0,62.0,62.0,65.0,10.0,10.0,10.0,10.0,10.0
fpl-stat-fpl-p-59966-2021-2022,fpl-p-59966,Alexandre Lacazette,CM,MIDFIELDER,Manchester United FC,2021-2022,RATED,75,0.8,1773,1,87.0,85.0,86.0,82.0,78.0,78.0,77.0,78.0,77.0,77.0,78.0,78.0,77.0,77.0,77.0,77.0,76.0,74.0,72.0,72.0,70.0,65.0,66.0,66.0,66.0,68.0,10.0,10.0,10.0,10.0,10.0
fpl-stat-fpl-p-84450-2021-2022,fpl-p-84450,Granit Xhaka,CM,MIDFIELDER,Manchester United FC,2021-2022,RATED,75,0.81,2327,1,82.0,81.0,81.0,77.0,78.0,78.0,77.0,78.0,77.0,77.0,78.0,78.0,78.0,77.0,78.0,77.0,77.0,77.0,65.0,66.0,66.0,73.0,72.0,72.0,72.0,74.0,10.0,10.0,10.0,10.0,10.0
fpl-stat-fpl-p-92371-2021-2022,fpl-p-92371,Pablo Marí,CM,MIDFIELDER,Manchester United FC,2021-2022,RATED,66,0.23,180,1,63.0,62.0,63.0,61.0,60.0,72.0,72.0,72.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,67.0,56.0,57.0,56.0,55.0,57.0,55.0,55.0,59.0,10.0,10.0,10.0,10.0,10.0
fpl-stat-fpl-p-98745-2021-2022,fpl-p-98745,Héctor Bellerín,CM,MIDFIELDER,Manchester United FC,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fpl-stat-fpl-p-111457-2021-2022,fpl-p-111457,Sead Kolasinac,CM,MIDFIELDER,Manchester United FC,2021-2022,RATED,66,0.22,91,1,64.0,64.0,65.0,63.0,62.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,66.0,58.0,59.0,58.0,58.0,59.0,58.0,58.0,60.0,10.0,10.0,10.0,10.0,10.0
fpl-stat-fpl-p-153256-2021-2022,fpl-p-153256,Mohamed Naser El Sayed Elneny,CM,MIDFIELDER,Manchester United FC,2021-2022,RATED,68,0.59,801,1,59.0,58.0,59.0,56.0,57.0,76.0,75.0,76.0,75.0,75.0,76.0,76.0,75.0,75.0,75.0,75.0,75.0,70.0,51.0,52.0,52.0,55.0,57.0,55.0,55.0,59.0,10.0,10.0,10.0,10.0,10.0
fpl-stat-fpl-p-154043-2021-2022,fpl-p-154043,Ainsley Maitland-Niles,CM,MIDFIELDER,Manchester United FC,2021-2022,RATED,66,0.23,263,1,62.0,61.0,62.0,59.0,59.0,73.0,72.0,73.0,72.0,72.0,73.0,73.0,73.0,72.0,73.0,72.0,72.0,67.0,54.0,55.0,54.0,55.0,56.0,54.0,54.0,58.0,10.0,10.0,10.0,10.0,10.0
