clubName,tier,squadSize,ratedCount,squadAverageOvr,startingXiAverageOvr,highestPlayer,highestOvr,lowestPlayer,lowestOvr,squadConfidence,status
FC Barcelona,Tier A (Fully Rated),105,79,73.7,90.9,Robert Lewandowski,91.0,Marta Torrejón,51.0,0.79,RATED
Real Madrid CF,Tier A (Fully Rated),99,71,74.6,89.5,Vinícius José Paixão de Oliveira Júnior,91.0,Rocío Gálvez,51.0,0.82,RATED
Atlético de Madrid,Tier A (Fully Rated),90,62,74.0,88.8,Álvaro Morata,91.0,Merel van Dongen,51.0,0.88,RATED
Villarreal CF,Tier A (Fully Rated),94,79,71.8,88.1,Alexander Sørloth,91.0,Paola Soldevila,51.0,0.8,RATED
Girona FC,Tier A (Fully Rated),63,45,76.0,88.0,Aleix García,91.0,Cristian Portugués Manzanera,63.0,0.83,RATED
UD Las Palmas,Tier A (Fully Rated),64,54,76.0,87.2,Sergi Cardona,91.0,Óscar Francisco García Quintela,63.0,0.77,RATED
Athletic Club,Tier A (Fully Rated),87,70,71.6,87.0,Ane Azkona,91.0,Oihane Hernández,51.0,0.84,RATED
Sevilla FC,Tier A (Fully Rated),101,75,70.7,86.6,Sergio Ramos,90.0,Lucía Ramírez,51.0,0.81,RATED
Real Sociedad,Tier A (Fully Rated),92,72,72.2,86.2,Amaiur Sarriegi,91.0,Manuela Vanegas,51.0,0.81,RATED
Manchester United FC,Tier A (Fully Rated),320,193,75.4,85.9,Aaron Ramsdale,91.0,Phil Jones,66.0,0.75,RATED
SD Eibar,Tier A (Fully Rated),59,49,69.5,85.9,Carmen Álvarez,91.0,Carla Morera,51.0,0.85,RATED
Newcastle United FC,Tier A (Fully Rated),308,186,75.5,85.5,Robert Sánchez,91.0,Paris Maghoma,66.0,0.76,RATED
Real Betis,Tier A (Fully Rated),64,54,76.1,85.5,Juan Miguel Jiménez López,91.0,Aitor Ruibal,64.0,0.79,RATED
Tottenham Hotspur FC,Tier A (Fully Rated),337,205,75.2,85.3,Edouard Mendy,91.0,Malang Sarr,66.0,0.75,RATED
RC Celta,Tier A (Fully Rated),67,50,75.4,85.3,Iago Aspas,91.0,Williot Swedberg,62.0,0.79,RATED
Levante UD,Tier A (Fully Rated),68,56,69.9,85.0,Alba Redondo,91.0,Viola Calligaris,51.0,0.77,RATED
Real Valladolid CF,Tier A (Fully Rated),38,28,76.6,84.8,Shon Weissman,91.0,Cristo González,63.0,0.8,RATED
Liverpool FC,Tier A (Fully Rated),150,93,76.2,84.7,Alisson Ramses Becker,91.0,Harvey Elliott,67.0,0.78,RATED
Deportivo Alavés,Tier A (Fully Rated),96,70,69.4,84.5,José Luis Mato Sanmartín,88.0,Osinachi Ohale,51.0,0.81,RATED
Manchester City FC,Tier A (Fully Rated),137,88,76.8,84.4,Ederson Santana de Moraes,91.0,Jahmai Simpson-Pusey,67.0,0.81,RATED
UD Almería,Tier A (Fully Rated),63,52,74.8,83.9,Umar Sadiq,91.0,Luka Romero,63.0,0.79,RATED
West Ham United FC,Tier A (Fully Rated),130,90,75.5,83.7,Lukasz Fabianski,91.0,Ryan Fredericks,66.0,0.78,RATED
Crystal Palace FC,Tier A (Fully Rated),144,88,75.3,83.7,Vicente Guaita,91.0,David Ozoh,66.0,0.77,RATED
FC Cartagena,Tier A (Fully Rated),32,23,76.4,83.4,Pablo Vázquez,91.0,Marc Martínez,67.0,0.86,RATED
Brighton & Hove Albion FC,Tier A (Fully Rated),140,79,76.3,83.3,Pascal Groß,85.0,Unknown Player,66.0,0.78,RATED
Valencia CF,Tier A (Fully Rated),68,49,72.9,83.3,Omar Alderete,89.0,Peter González,62.0,0.81,RATED
Burnley FC,Tier A (Fully Rated),57,45,73.4,83.3,Nick Pope,91.0,Filip Malbasic,64.0,0.77,RATED
Everton FC,Tier A (Fully Rated),154,92,75.2,83.2,Jordan Pickford,91.0,Roman Dixon,67.0,0.76,RATED
Leeds,Tier A (Fully Rated),157,94,73.9,83.1,Emiliano Martínez,91.0,Lewis Bate,66.0,0.7,RATED
Fulham FC,Tier A (Fully Rated),112,68,76.7,82.6,Alex Iwobi,85.0,Harrison Reed,67.0,0.81,RATED
Wolves,Tier A (Fully Rated),169,99,74.9,82.5,José Malheiro de Sá,91.0,Luke Cundle,66.0,0.74,RATED
Nott'm Forest,Tier A (Fully Rated),141,81,75.2,82.5,Morgan Gibbs-White,85.0,Harry Toffolo,67.0,0.77,RATED
AFC Bournemouth,Tier A (Fully Rated),125,77,75.4,82.5,Ryan Christie,84.0,Unknown Player,65.0,0.74,RATED
RB Leipzig,Tier A (Fully Rated),109,80,74.2,82.4,Kasper Schmeichel,91.0,Ryan Bertrand,66.0,0.74,RATED
A Villa,Tier A (Fully Rated),89,50,76.2,82.4,Youri Tielemans,84.0,Kosta Nedeljković,66.0,0.78,RATED
CA Osasuna,Tier A (Fully Rated),57,46,73.2,82.4,Ante Budimir,89.0,Unknown Player,62.0,0.83,RATED
